software_name,username,location,country
statisticalbiotechnology_GPTime,xheydar,Stockholm/Sweden,Sweden
statisticalbiotechnology_GPTime,percolator,"Stockholm, Sweden",Sweden
riverlee_MitoSeek,riverlee,,None
XingjieShi_VIMCO,XingjieShi,,None
niccw_repeatCraftp,niccw,Vienna,Austria
MinJinHa_iDINGO,MinJinHa,Houston,United States
MEMO-toolbox_MEMO,E-M-Geissen,,None
MEMO-toolbox_MEMO,MEMO-toolbox,,None
haddocking_prodigy-lig,pkoukos,,None
haddocking_prodigy-lig,schaarj,Karlsruhe,Germany
haddocking_prodigy-lig,avangone,,None
haddocking_prodigy-lig,amjjbonvin,"Utrecht, the Netherlands",Netherlands
izhbannikov_rqt,izhbannikov,,None
AG-Roemer_GUV-AP,taras-sych,"Solna, Sweden",Sweden
Greco-Lab_INfORM,grecolab,,None
Greco-Lab_INfORM,angy89,Tampere,Finland
Murali-group_crossplan,adyprat,,None
Murali-group_crossplan,tmmurali,,None
mzdb_pwiz-mzdb,AlexandreBurel,,None
mzdb_pwiz-mzdb,jerkos,France,France
mzdb_pwiz-mzdb,david-bouyssie,,None
mzdb_pwiz-mzdb,ibrahimyapici,,None
morispi_HG-CoLoR,morispi,,None
morispi_HG-CoLoR,AohRveTPV,,None
cbg-ethz_MC-CBN,sposadac,,None
cbg-ethz_MC-CBN,hesmon,Iran,Iran
cfrioux_miscoto,cfrioux,Bordeaux,France
